subID,N,sigma,H_true,H_subj,H_subj_EST,noise_in_DV,lapse_rate,pct
sim050160052006,50,160,0.05,0.2,0.17786758325024,0.00615556760833527,2.63265210391489e-07,70
sim050160052506,50,160,0.05,0.25,0.236000187402429,0.00202341700890611,0.0204081609065764,72
sim050160053006,50,160,0.05,0.3,0.298060042552696,0.000937623174927506,1.32653054460401e-07,78
sim050160053506,50,160,0.05,0.35,0.357442116122565,0.000275510053596345,1.32653054488555e-07,64
sim050160054006,50,160,0.05,0.4,0.375446056920382,0.000583022776765842,1.08163264263489e-07,52
sim050160054506,50,160,0.05,0.45,0.469197755728704,0.000122982035248157,1.0816326426447e-07,58
sim050160055006,50,160,0.05,0.5,0.499032136565021,2.20353431412329e-07,0.469387737975614,58
sim050160055506,50,160,0.05,0.55,0.526381372148814,0.00172098029686316,1.0868196403665e-07,30
sim050160056006,50,160,0.05,0.6,0.61643094884627,0.00103843089138993,1.32653057140292e-07,38
sim050160056506,50,160,0.05,0.65,0.676856775391135,0.000475145904824364,0.0204081610568859,36
sim050160057006,50,160,0.05,0.7,0.695480279687312,0.00113958739038896,0.0204081607631951,36
sim050160057506,50,160,0.05,0.75,0.720988996873769,0.00177270325029398,0.0204081616845052,46
sim050160058006,50,160,0.05,0.8,0.828106443907227,0.0028582375949936,1.32653054510244e-07,46
sim050160058506,50,160,0.05,0.85,0.912360226917933,0.0802027895468107,1.2499711370634e-07,46
sim050160059006,50,160,0.05,0.9,0.926900116955467,0.000597532248513938,1.32653054531709e-07,38
sim050160059506,50,160,0.05,0.95,0.991627500378108,0.713035425041856,1.15811418248655e-07,40
sim050160950506,50,160,0.95,0.05,0.025476799496559,0.0368739785448044,1.08691403583361e-07,50
sim050160951006,50,160,0.95,0.1,0.0655604444290664,0.00308318855641343,0.0612244869879098,40
sim050160951506,50,160,0.95,0.15,0.00827779172694991,0.0259164137255581,0.212367219838808,42
sim050160952006,50,160,0.95,0.2,0.196560152564223,0.00106171023436245,0.0204081810599702,48
sim050160952506,50,160,0.95,0.25,0.23442477176022,0.000597887726597686,0.0204081874799985,30
sim050160953006,50,160,0.95,0.3,0.285309618118656,0.00743254107286985,0.021546598291161,36
sim050160953506,50,160,0.95,0.35,0.353667692704962,0.00073727330706742,0.0204081609375622,38
sim050160954006,50,160,0.95,0.4,0.399757245648852,0.000612351406609287,1.32653054822358e-07,32
sim050160954506,50,160,0.95,0.45,0.28746318483527,0.00364842994260142,0.0861876175236307,34
sim050160955006,50,160,0.95,0.5,0.00200430029769143,1.74902202482284,9.91277576090834e-07,44
sim050160955506,50,160,0.95,0.55,0.548566241940123,4.98077978469696e-05,1.01632652886871e-07,64
sim050160956006,50,160,0.95,0.6,0.629429754797718,0.000825694187901068,1.26122444171716e-07,72
sim050160956506,50,160,0.95,0.65,0.620151595087673,0.000401097999228189,2.63265179483999e-07,72
sim050160957006,50,160,0.95,0.7,0.699300641654462,0.0116992889103009,1.00434816966521e-07,66
sim050160957506,50,160,0.95,0.75,0.793154629604192,0.00305971818354174,0.0204081612433676,76
sim050160958006,50,160,0.95,0.8,0.823788669810514,0.0748987511245305,1.13015276542373e-07,78
sim050160958506,50,160,0.95,0.85,0.890788732563468,0.00829226760622131,1.32653053797414e-07,80
sim050160959006,50,160,0.95,0.9,0.972037008485022,0.0126160936232199,1.06530613277682e-07,76
sim050160959506,50,160,0.95,0.95,0.980574729844657,0.00367998625379518,1.32653054496555e-07,76
