"","subID","N","sigma","H_true","H_subj","noise","lapse","H_subj_EST_avg","H_subj_EST_stder","noise_EST_avg","noise_EST_stder","lapse_EST_avg","lapse_EST_stder","pct_avg","pct_stder"
"158151","150_160_0.05_0.65_3.5_0.2",150,160,0.05,0.65,3.5,0.2,0.472287450193189,0.074258877250574,1.01203370107254,0.994408744075227,0.306278221866019,0.0484765071961002,0.505333333333333,0.0148340615718032
"158161","150_160_0.05_0.65_4_0.2",150,160,0.05,0.65,4,0.2,0.566616484481466,0.102907656808936,2.30924171031331,1.12300632271855,0.295937583465613,0.0561093368088122,0.493333333333333,0.0159629199965049
"158171","150_160_0.05_0.65_4.5_0.2",150,160,0.05,0.65,4.5,0.2,0.317643218067974,0.0662280517488337,0.333088728407027,0.197582974103096,0.21639547549477,0.04891044196387,0.497333333333333,0.0151437555888008
"158181","150_160_0.05_0.65_5_0.2",150,160,0.05,0.65,5,0.2,0.440818913877333,0.065349532399825,0.654707967917056,0.355698194394702,0.195067360373005,0.0620877758251173,0.506666666666667,0.0105174751699549
"158191","150_160_0.05_0.65_5.5_0.2",150,160,0.05,0.65,5.5,0.2,0.463646880702114,0.0915818093693887,1.28602993367882,0.996139081677834,0.30134329826436,0.0587715201603388,0.491333333333333,0.0111133331111556
"158201","150_160_0.05_0.65_6_0.2",150,160,0.05,0.65,6,0.2,0.478865363061233,0.093121253577817,1.0950231546582,0.75000395991239,0.237694597085927,0.0621139923250884,0.502666666666667,0.0130033234118469
"158211","150_160_0.05_0.65_0.01_0.25",150,160,0.05,0.65,0.01,0.25,0.660067379019253,0.0127318691623279,0.0170837248109043,0.00612420102272414,0.238306862907241,0.0118681984332225,0.445333333333333,0.011322434846984
"158221","150_160_0.05_0.65_0.5_0.25",150,160,0.05,0.65,0.5,0.25,0.721086918972649,0.0609183531926903,1.63230213926855,0.760468780058822,0.143280848628921,0.0585425453424557,0.472666666666667,0.0133869293171814
"158231","150_160_0.05_0.65_1_0.25",150,160,0.05,0.65,1,0.25,0.684452740876228,0.0576303814859001,0.515829267535395,0.357512645484132,0.171081732323258,0.0601960002115311,0.458,0.0182722889428193
"158241","150_160_0.05_0.65_1.5_0.25",150,160,0.05,0.65,1.5,0.25,0.493325351088126,0.0991749215197355,2.41373569376013,1.17661892970806,0.208401857017604,0.0638601636176013,0.507333333333333,0.0182018856708668
"158251","150_160_0.05_0.65_2_0.25",150,160,0.05,0.65,2,0.25,0.488831333767527,0.05996280923427,1.26353940058294,0.724462446666145,0.326988489650221,0.0606972044894028,0.488,0.0142222222222222
"158261","150_160_0.05_0.65_2.5_0.25",150,160,0.05,0.65,2.5,0.25,0.565030317075155,0.0568038694421299,0.873375735926699,0.549324371171812,0.187770884431067,0.0578931322916338,0.503333333333333,0.0111222166722153
"158271","150_160_0.05_0.65_3_0.25",150,160,0.05,0.65,3,0.25,0.485139593984612,0.0758170266678691,2.6094494561985,1.27633212441814,0.210018735443379,0.0551286705106743,0.497333333333334,0.0109409187778588
"158281","150_160_0.05_0.65_3.5_0.25",150,160,0.05,0.65,3.5,0.25,0.534793880883671,0.0950530057127757,1.0528657949913,0.994588263410451,0.255586642240953,0.0582942034439421,0.508,0.00836217232098973
"158291","150_160_0.05_0.65_4_0.25",150,160,0.05,0.65,4,0.25,0.451111023109061,0.0877352835029206,1.47603026718596,1.00616452016593,0.241914482517283,0.0628782693943307,0.511333333333333,0.0108888888888889
"158301","150_160_0.05_0.65_4.5_0.25",150,160,0.05,0.65,4.5,0.25,0.412346855771327,0.115301134177088,0.77018911293833,0.767418649113167,0.361255369349281,0.0529073185655323,0.504,0.0142013736077071
"158311","150_160_0.05_0.65_5_0.25",150,160,0.05,0.65,5,0.25,0.438309903819337,0.0559539339132083,0.0283428672957549,0.0153967557080947,0.273326857330219,0.0621772372807341,0.497333333333333,0.011119996447286
"158321","150_160_0.05_0.65_5.5_0.25",150,160,0.05,0.65,5.5,0.25,0.328512434939044,0.086157564995462,0.724841955464905,0.430297197169486,0.24443456340868,0.0666679319092541,0.516666666666667,0.0107611555669362
"158331","150_160_0.05_0.65_6_0.25",150,160,0.05,0.65,6,0.25,0.465320042438694,0.0543261261441332,1.15888642561609,0.993733992976961,0.27763622825429,0.0633552780670704,0.491333333333333,0.0184872328318161
"158341","150_160_0.05_0.7_0.01_0",150,160,0.05,0.7,0.01,0,0.69106889400677,0.00454901174456594,0.0046717707852607,0.00205010459921118,0.00344308979310986,0.00115060785629224,0.382,0.0122141387410322
"158351","150_160_0.05_0.7_0.5_0",150,160,0.05,0.7,0.5,0,0.663455019791985,0.0353474173659789,0.280844466771003,0.105426756194192,0.135730214188999,0.0450703516958299,0.453333333333333,0.0134072027813318
"158361","150_160_0.05_0.7_1_0",150,160,0.05,0.7,1,0,0.690658748342794,0.0577157316077322,0.325459463023782,0.147790321949476,0.189777351603525,0.0545591093063005,0.458,0.0172433562085034
"158371","150_160_0.05_0.7_1.5_0",150,160,0.05,0.7,1.5,0,0.662131538761031,0.0671547709993586,0.672796732125182,0.305374053223636,0.156840540742733,0.0643852856809642,0.468666666666667,0.0109341463112378
"158381","150_160_0.05_0.7_2_0",150,160,0.05,0.7,2,0,0.702967629219438,0.0862264023032943,2.44424339689119,0.803478054141919,0.114432244241422,0.0584479512439147,0.482,0.0121330077286388
"158391","150_160_0.05_0.7_2.5_0",150,160,0.05,0.7,2.5,0,0.624072092222505,0.0886707063666529,1.12915509425297,0.597118282514859,0.275482575595247,0.0666644427798889,0.518,0.0149748760789613
"158401","150_160_0.05_0.7_3_0",150,160,0.05,0.7,3,0,0.555818957757667,0.0924931486713202,0.184726246550051,0.100845208608027,0.243021354313186,0.0516687548474698,0.492666666666667,0.0120267192246532
"158411","150_160_0.05_0.7_3.5_0",150,160,0.05,0.7,3.5,0,0.730653407405137,0.0641738904128634,1.34546478429858,0.887930608435086,0.278388772813328,0.055550111885519,0.481333333333333,0.0133998341614946
"158421","150_160_0.05_0.7_4_0",150,160,0.05,0.7,4,0,0.477697300587187,0.0766476777684762,1.94828806717746,1.24665236718068,0.228412742472724,0.0562261492728774,0.478666666666667,0.0166533279957291
"158431","150_160_0.05_0.7_4.5_0",150,160,0.05,0.7,4.5,0,0.521381165607791,0.0496746997397358,0.22498383396548,0.196571683986249,0.279630372342507,0.0543028817245559,0.507333333333333,0.00907853254036246
"158441","150_160_0.05_0.7_5_0",150,160,0.05,0.7,5,0,0.517347995266698,0.0753881663333084,0.948940607937295,0.628355692135481,0.301168653481616,0.058629292897309,0.501333333333333,0.0109679668260027
"158451","150_160_0.05_0.7_5.5_0",150,160,0.05,0.7,5.5,0,0.532440516221479,0.0302006266261228,0.440383055476142,0.421333078398064,0.21653982552888,0.0545702134372462,0.498666666666667,0.0152930226969647
"158461","150_160_0.05_0.7_6_0",150,160,0.05,0.7,6,0,0.450051487240071,0.10417734587055,3.27986151984538,1.33522845962277,0.128656281073544,0.0527727514053106,0.506,0.0135336799809645
