ID,trial,block,sigma,H_true,H_subjective,noise_in_DV,lapse_rate,pct
A1IXQS0AB02CPA,T1,6,140,0.95,0.464649588985727,0.115415249603203,0.0224392902011568,67.5
A1IXQS0AB02CPA,T1,2,140,0.05,0.177329310703957,0.425851737123191,0.0367538450007015,84
A1IXQS0AB02CPA,T1,4,140,0.2,0.090795245946597,0.874992336814434,1.27664606289935e-07,74.5
A1IXQS0AB02CPA,T2,1,33,0.05,0.294021051904144,0.0428668146725705,1.02010050085507e-07,98.9949748743718
A1IXQS0AB02CPA,T2,3,33,0.2,0.150637544235491,0.0291390667219371,1.02000000667352e-07,99.5
A1IXQS0AB02CPA,T2,5,33,0.95,0.228586573334463,0.0309170773896867,1.0999993535512e-07,99.5
A1IXQS0AB02CPA,T2,2,140,0.05,0.13919338175336,0.564069233104724,0.0203531404081804,86.5
A1IXQS0AB02CPA,T2,4,140,0.2,0.16810170841999,0.604236593232178,1.16552970196378e-07,75.5
A1IXQS0AB02CPA,T2,6,140,0.95,0.960183277434474,1.22506654815532,1.08307881802599e-07,83
A1IZ4NX41GKU4X,T1,3,33,0.2,0.481669107402778,0.304484538820202,1.10225766396066e-07,98.4924623115578
A1IZ4NX41GKU4X,T1,1,33,0.05,0.540405101749442,0.450959233044017,1.10187880879473e-07,98.5
A1IZ4NX41GKU4X,T1,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A1IZ4NX41GKU4X,T1,6,140,0.95,0.518494137199141,0.0720240508997043,0.0145993428237474,67.5
A1IZ4NX41GKU4X,T1,2,140,0.05,0.514338149208238,0.1295461173993,0.0168359920974283,73.5
A1IZ4NX41GKU4X,T1,4,140,0.2,0.518406776123022,0.20320484308682,0.0168533050098174,68
A1IZ4NX41GKU4X,T2,3,33,0.2,0.616805301872271,0.0181190329956564,0.0201004962828405,95.9798994974874
A1IZ4NX41GKU4X,T2,1,33,0.05,0.337450417851956,0.0489329816015991,0.0150000010306924,97.5
A1IZ4NX41GKU4X,T2,5,33,0.95,0.843292735580737,0.0753128581931768,0.00999999540895831,99
A1IZ4NX41GKU4X,T2,6,140,0.95,0.472282563203427,0.0890759275328931,0.0294713250340161,65
A1IZ4NX41GKU4X,T2,2,140,0.05,0.483829690635425,0.12404709007341,0.0234843211353553,72.5
A1IZ4NX41GKU4X,T2,4,140,0.2,0.460959385724252,0.152043031285455,0.00718359130347506,74
