subID,N,sigma,H_true,H_subj,H_subj_EST,noise_in_DV,lapse_rate,pct
sim050110950500,50,110,0.95,0.05,0.0267320215008928,1.14508309158865,1.11994041019771e-07,42
sim050110951000,50,110,0.95,0.1,0.0171224144936532,0.00826136220821134,0.23998075332835,42
sim050110951500,50,110,0.95,0.15,0.011951444863248,2.95901524025352,4.95348308542361e-07,34
sim050110952000,50,110,0.95,0.2,0.0690841378653888,3.95193811648551,5.44965366330305e-07,36
sim050110952500,50,110,0.95,0.25,0.0412337715852241,1.9322593086001,2.34222518714094e-07,30
sim050110953000,50,110,0.95,0.3,0.140248372587173,0.00143103012606184,0.299999988055692,32
sim050110953500,50,110,0.95,0.35,0.0557761461135443,0.775538036398253,0.294746885581096,36
sim050110954000,50,110,0.95,0.4,0.00307706938537579,0.00312689138172588,0.379999991961651,24
sim050110954500,50,110,0.95,0.45,0.0705931474589901,2.37525996653411,1.56577255886605e-07,46
sim050110955000,50,110,0.95,0.5,0.823557174616621,5.87863382597214,1.30634345484865e-05,48
sim050110955500,50,110,0.95,0.55,0.927172278332419,1.55159140587693,1.7205094229975e-07,58
sim050110956000,50,110,0.95,0.6,0.91981494334992,1.16393425173953,0.0527263185776843,80
sim050110956500,50,110,0.95,0.65,0.947165437141307,1.99581308213091,0.00163660587098692,72
sim050110957000,50,110,0.95,0.7,0.865086320313177,1.0631421648439,1.08394686947513e-07,72
sim050110957500,50,110,0.95,0.75,0.89235765887352,1.13655975697956,1.40059028378694e-07,80
sim050110958000,50,110,0.95,0.8,0.94011611558522,1.21325788399259,1.18075547119649e-07,76
sim050110958500,50,110,0.95,0.85,0.956217798255398,1.19746524595661,1.56154645006194e-07,80
sim050110959000,50,110,0.95,0.9,0.941752664520765,1.42941794804339,1.68676995798284e-07,80
sim050110959500,50,110,0.95,0.95,0.999999993695159,9.41574482156142,0.00618923729095762,84
sim0501109510000,50,110,0.95,1,0.999999999568943,9.7788662538874,0.0230954722251733,94
sim050160050000,50,160,0.05,0,0.755225432828645,6.02330430782191,0.4999997782973,12
sim050160050500,50,160,0.05,0.05,0.0405923802254999,0.845945941352893,7.72484663006616e-07,56
sim050160051000,50,160,0.05,0.1,0.0513454495636845,1.12604711691657,1.39775147356612e-07,76
sim050160051500,50,160,0.05,0.15,1.50884180419993e-09,9.66620283991209,0.0134467286003855,86
sim050160052000,50,160,0.05,0.2,0.0750292364816519,1.27947454297202,1.79162272729629e-07,64
sim050160052500,50,160,0.05,0.25,0.0463558944292895,1.22443892235024,3.49527904159041e-07,70
sim050160053000,50,160,0.05,0.3,0.101044122968867,1.23566697208219,1.18686237255273e-07,68
sim050160053500,50,160,0.05,0.35,0.11135417286563,0.971582772042535,1.7165283889371e-07,66
sim050160054000,50,160,0.05,0.4,0.0774838818128649,0.751335591399602,0.190636484316873,60
sim050160054500,50,160,0.05,0.45,0.120741985255407,0.741747727483889,5.15001292074037e-07,60
sim050160055000,50,160,0.05,0.5,0.89359039972352,1.77014185185034,0.478783893444517,30
sim050160055500,50,160,0.05,0.55,0.909019669667495,0.420970626299012,0.17146129112492,44
sim050160056000,50,160,0.05,0.6,0.990622965879701,8.13053565691634,0.137835949247869,40
